WV      	 Sigma   
4259.984	    0.070
4260.688	    0.071
4261.392	    0.074
4262.096	    0.078
4262.800	    0.083
4263.505	    0.086
4264.209	    0.088
4264.914	    0.089
4265.618	    0.087
4266.323	    0.085
4267.028	    0.080
4267.733	    0.073
4268.439	    0.064
4269.144	    0.052
4269.849	    0.038
4270.555	    0.025
4271.261	    0.019
4271.966	    0.038
4272.672	    0.036
4273.378	    0.037
4274.084	    0.039
4274.791	    0.054
4275.497	    0.043
4276.204	    0.047
4276.910	    0.047
4277.617	    0.031
4278.324	    0.033
4279.031	    0.021
4279.738	    0.024
4280.445	    0.044
4281.152	    0.045
4281.860	    0.021
4282.567	    0.048
4283.275	    0.060
4283.983	    0.060
4284.691	    0.043
4285.399	    0.032
4286.107	    0.026
4286.815	    0.034
4287.523	    0.045
4288.232	    0.047
4288.940	    0.041
4289.649	    0.018
4290.358	    0.011
4291.067	    0.018
4291.776	    0.014
4292.485	    0.008
4293.194	    0.027
4293.904	    0.025
4294.613	    0.022
4295.323	    0.025
4296.033	    0.032
4296.743	    0.039
4297.453	    0.039
4298.163	    0.037
4298.873	    0.034
4299.583	    0.040
4300.294	    0.057
4301.004	    0.068
4301.715	    0.073
4302.426	    0.065
4303.137	    0.050
4303.848	    0.044
4304.559	    0.038
4305.270	    0.033
4305.982	    0.035
4306.693	    0.038
4307.405	    0.036
4308.117	    0.031
4308.829	    0.029
4309.541	    0.043
4310.253	    0.057
4310.965	    0.059
4311.677	    0.043
4312.390	    0.033
4313.102	    0.014
4313.815	    0.014
4314.528	    0.022
4315.241	    0.029
4315.954	    0.025
4316.667	    0.016
4317.380	    0.022
4318.094	    0.022
4318.807	    0.032
4319.521	    0.038
4320.235	    0.038
4320.949	    0.033
4321.663	    0.026
4322.377	    0.027
4323.091	    0.031
4323.805	    0.027
4324.520	    0.018
4325.234	    0.018
4325.949	    0.016
4326.664	    0.008
4327.379	    0.018
4328.094	    0.050
4328.809	    0.054
4329.524	    0.043
4330.240	    0.018
4330.955	    0.018
4331.671	    0.008
4332.387	    0.016
4333.103	    0.024
