WV      	 Sigma   
4184.326	    0.056
4185.077	    0.049
4185.828	    0.039
4186.580	    0.025
4187.331	    0.014
4188.083	    0.025
4188.835	    0.023
4189.586	    0.023
4190.339	    0.036
4191.091	    0.041
4191.843	    0.039
4192.595	    0.029
4193.348	    0.021
4194.101	    0.021
4194.853	    0.008
4195.606	    0.034
4196.359	    0.037
4197.113	    0.031
4197.866	    0.022
4198.620	    0.019
4199.373	    0.049
4200.127	    0.031
4200.881	    0.029
4201.635	    0.053
4202.389	    0.021
4203.143	    0.038
4203.898	    0.035
4204.652	    0.037
4205.407	    0.048
4206.162	    0.042
4206.917	    0.030
4207.672	    0.017
4208.427	    0.033
4209.183	    0.048
4209.938	    0.054
4210.694	    0.045
4211.450	    0.008
4212.206	    0.047
4212.962	    0.054
4213.718	    0.014
4214.474	    0.037
4215.231	    0.029
4215.987	    0.022
4216.744	    0.037
4217.501	    0.036
4218.258	    0.049
4219.015	    0.055
4219.773	    0.056
4220.530	    0.027
4221.288	    0.023
4222.045	    0.029
4222.803	    0.041
4223.561	    0.019
4224.319	    0.014
4225.077	    0.017
4225.836	    0.011
4226.594	    0.042
4227.353	    0.045
4228.112	    0.047
4228.871	    0.052
4229.630	    0.052
4230.389	    0.055
4231.148	    0.053
4231.908	    0.039
4232.667	    0.080
4233.427	    0.074
4234.187	    0.060
4234.947	    0.032
4235.707	    0.014
4236.468	    0.017
4237.228	    0.016
4237.989	    0.008
4238.749	    0.038
4239.510	    0.023
4240.271	    0.011
4241.032	    0.014
4241.793	    0.062
4242.555	    0.053
4243.316	    0.029
4244.078	    0.043
4244.840	    0.033
4245.602	    0.059
4246.364	    0.072
4247.126	    0.068
4247.888	    0.034
4248.651	    0.051
4249.413	    0.057
4250.176	    0.057
4250.939	    0.042
4251.702	    0.027
4252.465	    0.023
4253.229	    0.029
4253.992	    0.039
4254.756	    0.029
4255.519	    0.032
4256.283	    0.037
4257.047	    0.045
4257.811	    0.048
4258.575	    0.057
4259.340	    0.061
4260.104	    0.055
4260.869	    0.068
4261.634	    0.062
4262.399	    0.057
4263.164	    0.055
4263.929	    0.066
4264.695	    0.061
4265.460	    0.044
4266.226	    0.030
4266.991	    0.031
4267.757	    0.029
4268.523	    0.025
4269.290	    0.016
4270.056	    0.083
4270.822	    0.073
4271.589	    0.058
4272.356	    0.041
4273.123	    0.041
4273.890	    0.070
4274.657	    0.066
4275.424	    0.058
4276.191	    0.071
4276.959	    0.051
4277.727	    0.063
4278.494	    0.072
4279.262	    0.071
4280.031	    0.040
4280.799	    0.051
4281.567	    0.056
4282.336	    0.052
4283.104	    0.033
4283.873	    0.048
4284.642	    0.056
4285.411	    0.062
4286.180	    0.063
4286.950	    0.069
4287.719	    0.070
4288.489	    0.068
4289.259	    0.057
4290.029	    0.061
4290.799	    0.056
4291.569	    0.047
4292.339	    0.037
4293.110	    0.023
4293.880	    0.043
4294.651	    0.052
4295.422	    0.050
4296.193	    0.027
4296.964	    0.044
4297.735	    0.050
4298.507	    0.050
4299.278	    0.064
4300.050	    0.061
4300.822	    0.062
4301.594	    0.069
4302.366	    0.098
4303.138	    0.054
4303.910	    0.067
4304.683	    0.076
4305.456	    0.056
4306.229	    0.057
4307.001	    0.074
4307.775	    0.074
4308.548	    0.055
4309.321	    0.072
4310.095	    0.045
4310.868	    0.050
4311.642	    0.068
4312.416	    0.043
4313.190	    0.062
4313.964	    0.071
4314.739	    0.076
4315.513	    0.079
4316.288	    0.059
4317.062	    0.060
4317.837	    0.069
4318.612	    0.080
4319.388	    0.079
4320.163	    0.073
4320.938	    0.068
4321.714	    0.066
4322.490	    0.068
4323.266	    0.051
4324.042	    0.051
4324.818	    0.058
4325.594	    0.069
4326.370	    0.059
4327.147	    0.061
4327.924	    0.061
4328.700	    0.059
4329.477	    0.065
4330.255	    0.060
4331.032	    0.054
4331.809	    0.047
4332.587	    0.050
4333.364	    0.070
4334.142	    0.081
4334.920	    0.089
4335.698	    0.092
4336.477	    0.046
4337.255	    0.021
4338.034	    0.026
4338.812	    0.031
4339.591	    0.042
4340.370	    0.011
4341.149	    0.014
4341.928	    0.023
4342.708	    0.041
4343.487	    0.016
4344.267	    0.023
4345.046	    0.025
4345.826	    0.008
4346.606	    0.050
4347.387	    0.031
4348.167	    0.030
4348.947	    0.038
4349.728	    0.017
4350.509	    0.039
4351.290	    0.025
4352.071	    0.025
4352.852	    0.033
4353.633	    0.069
4354.415	    0.080
4355.196	    0.085
4355.978	    0.087
4356.760	    0.077
4357.542	    0.070
4358.324	    0.077
4359.106	    0.084
4359.889	    0.084
4360.671	    0.064
4361.454	    0.050
4362.237	    0.041
4363.020	    0.043
4363.803	    0.060
4364.587	    0.070
4365.370	    0.070
4366.153	    0.067
4366.937	    0.065
4367.721	    0.063
4368.505	    0.060
4369.289	    0.067
4370.073	    0.077
4370.858	    0.052
4371.642	    0.074
4372.427	    0.072
4373.212	    0.068
4373.997	    0.072
4374.782	    0.080
4375.567	    0.064
4376.353	    0.062
4388.938	    0.070
4389.726	    0.070
4390.514	    0.072
4391.302	    0.074
4392.090	    0.068
4392.879	    0.065
4393.667	    0.071
4394.456	    0.076
4395.245	    0.080
4396.033	    0.080
4396.823	    0.073
4397.612	    0.070
4398.401	    0.069
4399.191	    0.070
4399.980	    0.065
4400.770	    0.069
4401.560	    0.066
4402.350	    0.060
4403.140	    0.076
4403.931	    0.086
4404.721	    0.084
4405.512	    0.082
4406.302	    0.083
4407.093	    0.059
4407.884	    0.081
4408.676	    0.078
4409.467	    0.069
4410.258	    0.072
4411.050	    0.036
4411.842	    0.048
4412.634	    0.061
4413.426	    0.071
4414.218	    0.074
4415.010	    0.058
4415.803	    0.065
4416.595	    0.071
4417.388	    0.071
4418.181	    0.056
4418.974	    0.043
4419.767	    0.034
4420.561	    0.034
4421.354	    0.042
4422.148	    0.052
4422.941	    0.045
4423.735	    0.037
4424.529	    0.039
4425.324	    0.066
4426.118	    0.058
4426.912	    0.044
4427.707	    0.034
4428.502	    0.038
4429.297	    0.056
4430.092	    0.065
4430.887	    0.053
4431.682	    0.043
4432.478	    0.052
4433.273	    0.072
4434.069	    0.063
4434.865	    0.050
4435.661	    0.041
4436.457	    0.052
4437.253	    0.051
4438.050	    0.045
4438.847	    0.050
4439.643	    0.061
4440.440	    0.064
4441.237	    0.051
4442.034	    0.041
4442.832	    0.032
4443.629	    0.026
4444.427	    0.014
4445.225	    0.023
4446.023	    0.021
4446.821	    0.043
4447.619	    0.057
4448.417	    0.047
4449.216	    0.019
4450.014	    0.027
4450.813	    0.031
4451.612	    0.014
4452.411	    0.054
4453.210	    0.063
4454.009	    0.062
4454.809	    0.055
4455.609	    0.041
4456.408	    0.045
4457.208	    0.055
4458.008	    0.060
4458.808	    0.059
4459.609	    0.053
4460.409	    0.051
4461.210	    0.051
4462.011	    0.053
4462.812	    0.058
4463.613	    0.061
4464.414	    0.056
4465.215	    0.053
4466.017	    0.053
4466.818	    0.057
4467.620	    0.056
4468.422	    0.049
4469.224	    0.045
4470.026	    0.045
4470.829	    0.049
4471.631	    0.043
4472.434	    0.021
4473.237	    0.027
4474.039	    0.038
4474.843	    0.042
4475.646	    0.042
4476.449	    0.032
4477.253	    0.021
4478.056	    0.044
4478.860	    0.056
4479.664	    0.051
4480.468	    0.045
4481.272	    0.041
4482.077	    0.041
4482.881	    0.043
4483.686	    0.047
4484.491	    0.051
4485.296	    0.052
4486.101	    0.050
4486.906	    0.046
4487.711	    0.041
4488.517	    0.035
4489.322	    0.031
4490.128	    0.029
4490.934	    0.028
4491.740	    0.029
4492.547	    0.029
4493.353	    0.031
4494.160	    0.033
4494.966	    0.037
4495.773	    0.041
4496.580	    0.045
4497.387	    0.038
4498.194	    0.025
4499.002	    0.008
4499.809	    0.027
4500.617	    0.022
4501.425	    0.011
4502.233	    0.025
4503.041	    0.025
4503.849	    0.019
4504.658	    0.014
4505.466	    0.034
4506.275	    0.039
4507.084	    0.022
4507.893	    0.049
4508.702	    0.059
4509.511	    0.056
4510.321	    0.051
4511.130	    0.051
4511.940	    0.064
4512.750	    0.072
4513.560	    0.073
4514.370	    0.071
4515.180	    0.066
4515.991	    0.061
4516.802	    0.060
4517.612	    0.062
4518.423	    0.062
4519.234	    0.059
4520.045	    0.050
4520.857	    0.028
4521.668	    0.008
4522.480	    0.021
4523.292	    0.041
4524.103	    0.056
4524.916	    0.053
4525.728	    0.045
4526.540	    0.041
4527.353	    0.041
4528.165	    0.037
4528.978	    0.021
4529.791	    0.028
4530.604	    0.023
4531.417	    0.051
4532.231	    0.066
4533.044	    0.057
4533.858	    0.038
4534.672	    0.038
4535.486	    0.028
4536.300	    0.023
4537.114	    0.008
4537.928	    0.019
4538.743	    0.016
4539.558	    0.016
4540.372	    0.026
4541.187	    0.040
4542.002	    0.045
4542.818	    0.041
4543.633	    0.037
4544.449	    0.036
4545.264	    0.039
4546.080	    0.039
4546.896	    0.037
4547.712	    0.042
4548.529	    0.053
4549.345	    0.065
4550.162	    0.067
4550.979	    0.057
4551.795	    0.045
4552.612	    0.033
4553.430	    0.030
4554.247	    0.043
4555.064	    0.048
4555.882	    0.046
4556.700	    0.043
4557.518	    0.040
4558.336	    0.033
4559.154	    0.033
4559.972	    0.044
4560.791	    0.052
4561.609	    0.054
4562.428	    0.053
4563.247	    0.052
4564.066	    0.053
4564.885	    0.052
4565.705	    0.045
4566.524	    0.029
4567.344	    0.031
4568.164	    0.043
4568.984	    0.044
4569.804	    0.041
4570.624	    0.034
4571.445	    0.032
4572.265	    0.038
4573.086	    0.043
4573.907	    0.046
4574.728	    0.048
4575.549	    0.050
4576.370	    0.053
4577.192	    0.042
4578.013	    0.008
4578.835	    0.037
4579.657	    0.041
4580.479	    0.025
4581.301	    0.022
4582.123	    0.030
4582.946	    0.041
4583.768	    0.047
4584.591	    0.037
4585.414	    0.025
4586.237	    0.043
4587.060	    0.037
4587.884	    0.021
4588.707	    0.050
4589.531	    0.046
4590.355	    0.014
4591.179	    0.025
4592.003	    0.021
4592.827	    0.017
4593.651	    0.011
4594.476	    0.026
4595.301	    0.025
4596.125	    0.017
4596.950	    0.040
4597.776	    0.049
4598.601	    0.055
4599.426	    0.053
4600.252	    0.049
4601.078	    0.047
4601.903	    0.045
4602.730	    0.043
4603.556	    0.034
4604.382	    0.029
4605.208	    0.032
4606.035	    0.037
4606.862	    0.038
4607.689	    0.022
4608.516	    0.008
4609.343	    0.023
4610.170	    0.032
4610.998	    0.035
4611.826	    0.025
4612.653	    0.017
4613.481	    0.028
4614.309	    0.035
4615.138	    0.036
4615.966	    0.031
4616.795	    0.037
4617.623	    0.052
4618.452	    0.052
4619.281	    0.039
4620.110	    0.039
4620.940	    0.030
4621.769	    0.026
4622.599	    0.025
4623.428	    0.028
4624.258	    0.022
4625.088	    0.022
4625.918	    0.046
4626.749	    0.051
4627.579	    0.041
4628.410	    0.016
4629.241	    0.035
4630.072	    0.045
4630.903	    0.031
4631.734	    0.030
4632.565	    0.039
4633.397	    0.034
4634.229	    0.023
4635.060	    0.022
4635.892	    0.030
4636.724	    0.030
4637.557	    0.032
4638.389	    0.038
4639.222	    0.031
4640.054	    0.031
4640.887	    0.014
4641.720	    0.019
4642.553	    0.008
4643.387	    0.017
4644.220	    0.016
4645.054	    0.030
4645.888	    0.045
4646.722	    0.045
4647.556	    0.036
4648.390	    0.036
4649.224	    0.038
4650.059	    0.052
4650.893	    0.059
4651.728	    0.054
4652.563	    0.041
4653.398	    0.026
4654.234	    0.023
4655.069	    0.044
4655.905	    0.047
4656.740	    0.039
4657.576	    0.034
