WV      	 Sigma   
4259.984	    0.088
4260.688	    0.087
4261.392	    0.086
4262.096	    0.083
4262.800	    0.081
4263.505	    0.080
4264.209	    0.079
4264.914	    0.079
4265.618	    0.080
4266.323	    0.082
4267.028	    0.084
4267.733	    0.087
4268.439	    0.090
4269.144	    0.093
4269.849	    0.095
4270.555	    0.096
4271.261	    0.095
4271.966	    0.095
4272.672	    0.096
4273.378	    0.092
4274.084	    0.087
4274.791	    0.090
4275.497	    0.114
4276.204	    0.132
4276.910	    0.145
4277.617	    0.147
4278.324	    0.115
4279.031	    0.114
4279.738	    0.113
4280.445	    0.106
4281.152	    0.059
4281.860	    0.012
4282.567	    0.043
4283.275	    0.048
4283.983	    0.046
4284.691	    0.081
4285.399	    0.060
4286.107	    0.036
4286.815	    0.073
4287.523	    0.039
4288.232	    0.042
4288.940	    0.055
4289.649	    0.070
4290.358	    0.047
4291.067	    0.038
4291.776	    0.039
4292.485	    0.012
4293.194	    0.024
4293.904	    0.098
4294.613	    0.105
4295.323	    0.097
4296.033	    0.072
4296.743	    0.033
4297.453	    0.034
4298.163	    0.024
4298.873	    0.030
4299.583	    0.070
4300.294	    0.070
4301.004	    0.064
4301.715	    0.058
4302.426	    0.069
4303.137	    0.078
4303.848	    0.066
4304.559	    0.040
4305.270	    0.038
4305.982	    0.052
4306.693	    0.045
4307.405	    0.076
4308.117	    0.091
4308.829	    0.082
4309.541	    0.091
4310.253	    0.077
4310.965	    0.055
4311.677	    0.031
4312.390	    0.072
4313.102	    0.050
4313.815	    0.033
4314.528	    0.029
4315.241	    0.052
4315.954	    0.083
4316.667	    0.110
4317.380	    0.120
4318.094	    0.092
4318.807	    0.100
4319.521	    0.083
4320.235	    0.039
4320.949	    0.069
4321.663	    0.009
4322.377	    0.072
4323.091	    0.083
4323.805	    0.079
4324.520	    0.052
4325.234	    0.037
4325.949	    0.021
4326.664	    0.012
4327.379	    0.029
4328.094	    0.058
4328.809	    0.040
4329.524	    0.009
4330.240	    0.017
4330.955	    0.062
4331.671	    0.059
4332.387	    0.039
4333.103	    0.032
4333.819	    0.050
4334.535	    0.087
4335.251	    0.068
4335.968	    0.033
4336.684	    0.040
4337.401	    0.015
4338.117	    0.062
4338.834	    0.069
4339.551	    0.080
4340.268	    0.094
4340.985	    0.095
4341.703	    0.065
4342.420	    0.038
4343.138	    0.019
4343.855	    0.041
4344.573	    0.034
4345.291	    0.034
4346.009	    0.012
4346.727	    0.027
4347.445	    0.009
4348.164	    0.049
4348.882	    0.063
4349.601	    0.078
4350.320	    0.099
4351.039	    0.108
4351.758	    0.103
4352.477	    0.090
4353.196	    0.067
4353.915	    0.032
4354.635	    0.034
4355.354	    0.070
4356.074	    0.091
4356.794	    0.074
4357.514	    0.113
4358.234	    0.127
4358.954	    0.143
4359.674	    0.157
4360.394	    0.167
4361.115	    0.177
4361.836	    0.166
4362.556	    0.143
4363.277	    0.106
4363.998	    0.052
4364.719	    0.098
4365.441	    0.122
4366.162	    0.132
4366.883	    0.126
4367.605	    0.077
4368.327	    0.075
4369.049	    0.092
4369.771	    0.111
4370.493	    0.114
4371.215	    0.103
4371.937	    0.086
4372.660	    0.064
4373.382	    0.041
4374.105	    0.062
4374.828	    0.084
4375.550	    0.107
4376.273	    0.127
4376.997	    0.139
4377.720	    0.143
4378.443	    0.136
4379.167	    0.116
4379.890	    0.097
4380.614	    0.133
4381.338	    0.160
4382.062	    0.164
4382.786	    0.165
4383.510	    0.171
4384.235	    0.184
4384.959	    0.195
4385.684	    0.198
4386.408	    0.190
4387.133	    0.165
4387.858	    0.149
4388.583	    0.150
4389.308	    0.153
4390.034	    0.155
4390.759	    0.151
4391.485	    0.144
4392.210	    0.141
4392.936	    0.135
4393.662	    0.121
4394.388	    0.079
4395.114	    0.073
4395.840	    0.062
4396.567	    0.079
4397.293	    0.116
4398.020	    0.131
4398.747	    0.115
4399.473	    0.095
4400.200	    0.073
4400.928	    0.045
4401.655	    0.077
4402.382	    0.105
4403.110	    0.117
4403.837	    0.116
4404.565	    0.095
4405.293	    0.062
4406.021	    0.046
4406.749	    0.070
4407.477	    0.105
4408.205	    0.123
4408.934	    0.084
4409.662	    0.074
4410.391	    0.087
4411.119	    0.108
4411.848	    0.088
4412.577	    0.061
4413.307	    0.072
4414.036	    0.078
4414.765	    0.069
4415.495	    0.076
4416.224	    0.102
4416.954	    0.102
4417.684	    0.084
4418.414	    0.034
4419.144	    0.047
4419.874	    0.091
4420.605	    0.096
4421.335	    0.086
4422.066	    0.073
4422.796	    0.122
4423.527	    0.102
4424.258	    0.094
4424.989	    0.089
4425.720	    0.060
4426.452	    0.067
4427.183	    0.050
4427.915	    0.033
4428.646	    0.027
4429.378	    0.037
4430.110	    0.102
4430.842	    0.130
4431.574	    0.121
4432.307	    0.076
4433.039	    0.044
4433.772	    0.063
4434.504	    0.082
4435.237	    0.096
4435.970	    0.105
4436.703	    0.094
4437.436	    0.034
4438.169	    0.039
4438.903	    0.034
4439.636	    0.038
4440.370	    0.065
4441.103	    0.054
4441.837	    0.063
