1 1 1107.52 1114.37
142.8818 
0.5258 
name    flux    f_err    vel    sig
Hgamma      	   3.95384	      0.14	 3079.5256	     57.21
Hbeta       	   4.24676	      0.13	 3079.5256	     57.21
Halpha      	  20.58883	      0.12	 3079.5256	     57.21
[SII]6716   	   2.37627	      0.12	 3075.3718	     53.83
[SII]6731   	   1.31816	      0.12	 3075.3718	     53.83
[OIII]5007_d	   0.10201	      0.16	 3075.3718	     53.83
[OI]6300_d  	  25.49559	      0.15	 3075.3718	     53.83
[NII]6583_d 	  13.86098	      0.15	 3075.3718	     53.83
