WV      	 Sigma   
4259.984	    0.109
4260.688	    0.102
4261.392	    0.105
4262.096	    0.113
4262.800	    0.129
4263.505	    0.144
4264.209	    0.153
4264.914	    0.159
4265.618	    0.162
4266.323	    0.160
4267.028	    0.152
4267.733	    0.140
4268.439	    0.121
4269.144	    0.090
4269.849	    0.018
4270.555	    0.079
4271.261	    0.103
4271.966	    0.079
4272.672	    0.100
4273.378	    0.087
4274.084	    0.059
4274.791	    0.079
4275.497	    0.112
4276.204	    0.085
4276.910	    0.056
4277.617	    0.083
4278.324	    0.109
4279.031	    0.118
4279.738	    0.125
4280.445	    0.133
4281.152	    0.108
4281.860	    0.119
4282.567	    0.106
4283.275	    0.075
4283.983	    0.071
4284.691	    0.085
4285.399	    0.064
4286.107	    0.035
4286.815	    0.056
4287.523	    0.079
4288.232	    0.066
4288.940	    0.025
4289.649	    0.066
4290.358	    0.018
4291.067	    0.075
4291.776	    0.087
4292.485	    0.077
4293.194	    0.040
4293.904	    0.031
4294.613	    0.087
4295.323	    0.109
4296.033	    0.103
4296.743	    0.018
4297.453	    0.090
4298.163	    0.109
4298.873	    0.103
4299.583	    0.053
4300.294	    0.047
4301.004	    0.071
4301.715	    0.103
4302.426	    0.141
4303.137	    0.131
4303.848	    0.100
4304.559	    0.061
4305.270	    0.050
4305.982	    0.075
4306.693	    0.035
4307.405	    0.031
4308.117	    0.079
4308.829	    0.147
4309.541	    0.137
4310.253	    0.119
4310.965	    0.089
4311.677	    0.031
4312.390	    0.109
4313.102	    0.095
4313.815	    0.083
4314.528	    0.081
4315.241	    0.106
4315.954	    0.064
4316.667	    0.018
4317.380	    0.064
4318.094	    0.123
4318.807	    0.165
4319.521	    0.161
4320.235	    0.134
4320.949	    0.066
4321.663	    0.043
4322.377	    0.053
4323.091	    0.077
4323.805	    0.087
4324.520	    0.056
4325.234	    0.025
4325.949	    0.025
4326.664	    0.018
4327.379	    0.035
4328.094	    0.069
4328.809	    0.097
4329.524	    0.069
4330.240	    0.059
4330.955	    0.081
4331.671	    0.040
4332.387	    0.061
4333.103	    0.083
4333.819	    0.099
4334.535	    0.085
4335.251	    0.079
4335.968	    0.071
4336.684	    0.064
4337.401	    0.085
4338.117	    0.105
4338.834	    0.083
4339.551	    0.083
4340.268	    0.108
4340.985	    0.105
4341.703	    0.059
4342.420	    0.018
4343.138	    0.053
4343.855	    0.081
4344.573	    0.069
4345.291	    0.085
4346.009	    0.125
4346.727	    0.140
4347.445	    0.125
4348.164	    0.087
4348.882	    0.103
4349.601	    0.119
4350.320	    0.102
4351.039	    0.113
4351.758	    0.106
4352.477	    0.105
4353.196	    0.111
4353.915	    0.138
4354.635	    0.119
4355.354	    0.113
4356.074	    0.111
4356.794	    0.108
4357.514	    0.121
4358.234	    0.153
4358.954	    0.175
4359.674	    0.188
4360.394	    0.185
4361.115	    0.151
4361.836	    0.152
4362.556	    0.156
4363.277	    0.154
4363.998	    0.025
4364.719	    0.056
4365.441	    0.056
4366.162	    0.035
4366.883	    0.053
4367.605	    0.083
4368.327	    0.064
4369.049	    0.089
4369.771	    0.119
4370.493	    0.135
4371.215	    0.141
4371.937	    0.134
4372.660	    0.115
4373.382	    0.092
4374.105	    0.090
4374.828	    0.059
4375.550	    0.050
4376.273	    0.064
4376.997	    0.079
4377.720	    0.053
4378.443	    0.059
4379.167	    0.069
4379.890	    0.083
4380.614	    0.095
4381.338	    0.112
4382.062	    0.111
4382.786	    0.121
4383.510	    0.142
4390.034	    0.174
4390.759	    0.155
4391.485	    0.137
4392.210	    0.090
4392.936	    0.031
4393.662	    0.047
4394.388	    0.059
4395.114	    0.128
4395.840	    0.141
4396.567	    0.116
4397.293	    0.116
4398.020	    0.059
4398.747	    0.137
4399.473	    0.152
4400.200	    0.140
4400.928	    0.097
4401.655	    0.127
4402.382	    0.129
4403.110	    0.119
4403.837	    0.103
4404.565	    0.095
4405.293	    0.097
4406.021	    0.085
4406.749	    0.083
4407.477	    0.083
4408.205	    0.050
4408.934	    0.066
4409.662	    0.079
4410.391	    0.094
4411.119	    0.106
4411.848	    0.109
4412.577	    0.100
4413.307	    0.095
4414.036	    0.073
4414.765	    0.043
4415.495	    0.087
4416.224	    0.025
4416.954	    0.071
4417.684	    0.094
4418.414	    0.095
4419.144	    0.103
4419.874	    0.092
4420.605	    0.085
4421.335	    0.090
4422.066	    0.108
4422.796	    0.112
4423.527	    0.035
4424.258	    0.077
4424.989	    0.089
4425.720	    0.064
4426.452	    0.018
4427.183	    0.018
4427.915	    0.025
4428.646	    0.025
4429.378	    0.085
4430.110	    0.134
4430.842	    0.120
4431.574	    0.095
4432.307	    0.073
4433.039	    0.077
4433.772	    0.035
4434.504	    0.066
4435.237	    0.099
4435.970	    0.115
4436.703	    0.090
4437.436	    0.116
4438.169	    0.115
4438.903	    0.100
4439.636	    0.071
4440.370	    0.031
4441.103	    0.018
4441.837	    0.075
4442.571	    0.100
4443.305	    0.103
4444.040	    0.031
4444.774	    0.075
4445.508	    0.040
4446.243	    0.047
4446.978	    0.031
4447.713	    0.064
4448.447	    0.064
4449.183	    0.035
4449.918	    0.053
4450.653	    0.077
4451.388	    0.040
4452.124	    0.069
4452.860	    0.090
4453.596	    0.105
4454.331	    0.118
4455.067	    0.120
4455.804	    0.089
4456.540	    0.061
4457.276	    0.040
4458.013	    0.047
4458.750	    0.035
4459.486	    0.056
4460.223	    0.075
4460.960	    0.047
4461.697	    0.073
4462.435	    0.090
4463.172	    0.100
4463.909	    0.118
4464.647	    0.116
4465.385	    0.085
4466.123	    0.087
4466.861	    0.094
4467.599	    0.095
4468.337	    0.090
4469.075	    0.079
4469.814	    0.040
4470.552	    0.089
4471.291	    0.079
4472.030	    0.061
4472.769	    0.043
4473.508	    0.025
4474.247	    0.035
4474.987	    0.043
4475.726	    0.085
4476.466	    0.106
4477.205	    0.089
4477.945	    0.047
4478.685	    0.050
4479.425	    0.050
4480.165	    0.043
4480.906	    0.066
4481.646	    0.115
4482.387	    0.113
4483.127	    0.079
4483.868	    0.018
4484.609	    0.077
4485.350	    0.073
4486.091	    0.105
4486.833	    0.112
4487.574	    0.112
4488.316	    0.118
4489.057	    0.097
4489.799	    0.056
4490.541	    0.085
4491.283	    0.083
4492.025	    0.066
4492.767	    0.050
4493.510	    0.035
4494.252	    0.035
4494.995	    0.040
4495.738	    0.056
4496.481	    0.025
4497.224	    0.125
4497.967	    0.134
4498.710	    0.108
4499.453	    0.018
4500.197	    0.094
4500.940	    0.071
