Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6365.900	    0.108	 2.726e-16	         1.168e-17	    2.622	    0.097	 1.792e-15	 1.013e-16	    4.654	            0.553	 3105.250	 3105.250	    5.064	    5.654	    6.174
[OI]b   	 6363.800	 6430.061	    0.108	 8.795e-17	         1.168e-17	    2.622	    0.097	 5.780e-16	 7.970e-17	    4.654	            0.553	 3105.250	 3105.250	    5.014	   13.788	    6.174
[NII]b  	 6548.100	 6619.052	    0.387	 7.367e-16	         4.900e-16	    2.028	    0.306	 3.745e-15	 2.554e-15	            4.654	    0.553	 3230.824	 3230.824	   17.520	           68.202	    4.775
Halpha  	 6562.800	 6633.986	    0.280	 4.981e-15	         8.581e-16	    1.988	    0.214	 2.482e-14	 5.045e-15	            4.654	    0.553	 3234.160	 3234.160	   12.640	           20.324	    4.681
[NII]a  	 6583.500	 6654.836	    0.387	 2.137e-15	         4.900e-16	    2.039	    0.306	 1.092e-14	 2.993e-15	            4.654	    0.553	 3230.824	 3230.824	   17.425	           27.417	    4.801
[SII]a  	 6716.400	 6789.133	    0.570	 6.006e-16	         2.997e-16	    1.613	    0.403	 2.428e-15	 1.355e-15	            4.654	    0.553	 3228.909	 3228.909	   25.150	           55.800	    3.798
[SII]b  	 6730.800	 6803.689	    0.570	 4.599e-16	         2.562e-16	    1.616	    0.403	 1.863e-15	 1.137e-15	            4.654	    0.553	 3228.909	 3228.909	   25.097	           61.025	    3.806
Hbeta   	 4861.000	 4913.930	    0.531	 4.033e-16	         1.263e-16	    2.041	    0.389	 2.063e-15	 7.566e-16	            4.654	    0.553	 3246.572	 3246.572	   32.374	           36.665	    4.807
[OIII]49	 4959.000	 5012.435	    0.728	 4.372e-17	         7.232e-17	    1.542	    0.521	 1.690e-16	 2.853e-16	            4.654	    0.553	 3212.961	 3212.961	   43.555	          168.851	    3.632
[OIII]50	 5007.000	 5060.953	    0.728	 1.311e-16	         7.232e-17	    1.542	    0.521	 5.070e-16	 3.279e-16	            4.654	    0.553	 3213.019	 3213.019	   43.138	           64.685	    3.632
[OI]a   	 6300.300	 6365.900	    0.108	 2.725e-16	         1.168e-17	    2.623	    0.097	 1.792e-15	 1.013e-16	            4.654	    0.553	 3105.239	 3105.239	    5.067	            5.655	    6.176
[OI]b   	 6363.800	 6430.061	    0.108	 8.790e-17	         1.168e-17	    2.623	    0.097	 5.779e-16	 7.971e-17	            4.654	    0.553	 3105.239	 3105.239	    5.016	           13.792	    6.176
[NII]b  	 6548.100	 6619.053	    0.387	 7.368e-16	         4.905e-16	    2.025	    0.306	 3.740e-15	 2.553e-15	            4.654	    0.553	 3230.841	 3230.841	   17.528	           68.263	    4.769
Halpha  	 6562.800	 6633.986	    0.280	 4.982e-15	         8.585e-16	    1.987	    0.214	 2.481e-14	 5.045e-15	            4.654	    0.553	 3234.162	 3234.162	   12.643	           20.333	    4.679
[NII]a  	 6583.500	 6654.836	    0.387	 2.137e-15	         4.905e-16	    2.036	    0.306	 1.091e-14	 2.993e-15	            4.654	    0.553	 3230.841	 3230.841	   17.434	           27.449	    4.794
[SII]a  	 6716.400	 6789.132	    0.569	 6.003e-16	         2.992e-16	    1.616	    0.401	 2.431e-15	 1.354e-15	            4.654	    0.553	 3228.897	 3228.897	   25.115	           55.696	    3.805
[SII]b  	 6730.800	 6803.688	    0.569	 4.600e-16	         2.558e-16	    1.619	    0.401	 1.867e-15	 1.137e-15	            4.654	    0.553	 3228.897	 3228.897	   25.062	           60.883	    3.813
Hbeta   	 4861.000	 4913.930	    0.531	 4.033e-16	         1.263e-16	    2.041	    0.389	 2.063e-15	 7.566e-16	            4.654	    0.553	 3246.572	 3246.572	   32.375	           36.668	    4.806
[OIII]49	 4959.000	 5012.435	    0.728	 4.372e-17	         7.231e-17	    1.543	    0.521	 1.690e-16	 2.854e-16	            4.654	    0.553	 3212.962	 3212.962	   43.549	          168.824	    3.632
[OIII]50	 5007.000	 5060.953	    0.728	 1.311e-16	         7.231e-17	    1.543	    0.521	 5.071e-16	 3.279e-16	            4.654	    0.553	 3213.020	 3213.020	   43.131	           64.671	    3.632
