Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6360.760	    0.237	 3.818e-17	         5.422e-18	    1.707	    0.217	 1.633e-16	 3.112e-17	    4.352	            0.378	 2863.138	 2863.138	   11.191	   19.056	    4.019
[OI]b   	 6363.800	 6424.870	    0.237	 1.232e-17	         5.422e-18	    1.707	    0.217	 5.269e-17	 2.414e-17	    4.352	            0.378	 2863.138	 2863.138	   11.079	   45.816	    4.019
[NII]b  	 6548.100	 6611.872	    0.302	 4.530e-16	         2.661e-16	    1.759	    0.242	 1.997e-15	 1.205e-15	            4.352	    0.378	 2905.448	 2905.448	   13.688	           60.338	    4.143
Halpha  	 6562.800	 6626.730	    0.208	 3.319e-15	         4.790e-16	    1.757	    0.159	 1.461e-14	 2.490e-15	            4.352	    0.378	 2906.124	 2906.124	    9.400	           17.042	    4.136
[NII]a  	 6583.500	 6647.616	    0.302	 1.314e-15	         2.661e-16	    1.769	    0.242	 5.824e-15	 1.423e-15	            4.352	    0.378	 2905.448	 2905.448	   13.614	           24.440	    4.165
[SII]a  	 6716.400	 6781.868	    0.487	 3.739e-16	         1.514e-16	    1.756	    0.388	 1.646e-15	 7.594e-16	            4.352	    0.378	 2907.961	 2907.961	   21.547	           46.135	    4.136
[SII]b  	 6730.800	 6796.408	    0.487	 2.956e-16	         1.322e-16	    1.760	    0.388	 1.304e-15	 6.502e-16	            4.352	    0.378	 2907.961	 2907.961	   21.501	           49.853	    4.145
Hbeta   	 4861.000	 4908.141	    0.201	 5.083e-16	         8.317e-17	    1.415	    0.120	 1.802e-15	 3.323e-16	            4.352	    0.378	 2893.259	 2893.259	   12.252	           18.435	    3.331
[OIII]49	 4959.000	 5006.506	    0.595	 1.512e-17	         2.328e-17	    1.343	    0.448	 5.088e-17	 8.019e-17	            4.352	    0.378	 2858.154	 2858.154	   35.610	          157.588	    3.162
[OIII]50	 5007.000	 5054.966	    0.595	 4.535e-17	         2.328e-17	    1.343	    0.448	 1.527e-16	 9.348e-17	            4.352	    0.378	 2858.212	 2858.212	   35.269	           61.238	    3.162
[OI]a   	 6300.300	 6360.760	    0.237	 3.818e-17	         5.422e-18	    1.707	    0.217	 1.633e-16	 3.112e-17	            4.352	    0.378	 2863.138	 2863.138	   11.191	           19.056	    4.019
[OI]b   	 6363.800	 6424.870	    0.237	 1.232e-17	         5.422e-18	    1.707	    0.217	 5.269e-17	 2.414e-17	            4.352	    0.378	 2863.138	 2863.138	   11.079	           45.816	    4.019
[NII]b  	 6548.100	 6611.872	    0.302	 4.530e-16	         2.661e-16	    1.759	    0.242	 1.997e-15	 1.205e-15	            4.352	    0.378	 2905.448	 2905.448	   13.688	           60.338	    4.143
Halpha  	 6562.800	 6626.730	    0.208	 3.319e-15	         4.790e-16	    1.757	    0.159	 1.461e-14	 2.490e-15	            4.352	    0.378	 2906.124	 2906.124	    9.400	           17.042	    4.136
[NII]a  	 6583.500	 6647.616	    0.302	 1.314e-15	         2.661e-16	    1.769	    0.242	 5.824e-15	 1.423e-15	            4.352	    0.378	 2905.448	 2905.448	   13.614	           24.440	    4.165
[SII]a  	 6716.400	 6781.868	    0.487	 3.739e-16	         1.514e-16	    1.756	    0.388	 1.646e-15	 7.594e-16	            4.352	    0.378	 2907.961	 2907.961	   21.547	           46.135	    4.136
[SII]b  	 6730.800	 6796.408	    0.487	 2.956e-16	         1.322e-16	    1.760	    0.388	 1.304e-15	 6.502e-16	            4.352	    0.378	 2907.961	 2907.961	   21.501	           49.853	    4.145
Hbeta   	 4861.000	 4908.141	    0.201	 5.083e-16	         8.317e-17	    1.415	    0.120	 1.802e-15	 3.323e-16	            4.352	    0.378	 2893.259	 2893.259	   12.252	           18.435	    3.331
[OIII]49	 4959.000	 5006.506	    0.595	 1.512e-17	         2.328e-17	    1.343	    0.448	 5.088e-17	 8.019e-17	            4.352	    0.378	 2858.154	 2858.154	   35.610	          157.588	    3.162
[OIII]50	 5007.000	 5054.966	    0.595	 4.535e-17	         2.328e-17	    1.343	    0.448	 1.527e-16	 9.348e-17	            4.352	    0.378	 2858.212	 2858.212	   35.269	           61.238	    3.162
