WV      	 Sigma   
4184.326	    0.256
4185.077	    0.209
4185.828	    0.326
4186.580	    0.342
4187.331	    0.370
4188.083	    0.307
4188.835	    0.232
4189.586	    0.136
4190.339	    0.199
4191.091	    0.196
4191.843	    0.162
4192.595	    0.033
4193.348	    0.172
4194.101	    0.074
4194.853	    0.159
4195.606	    0.254
4196.359	    0.298
4197.113	    0.269
4197.866	    0.234
4198.620	    0.207
4199.373	    0.047
4200.127	    0.172
4200.881	    0.199
4201.635	    0.119
4202.389	    0.119
4203.143	    0.119
4203.898	    0.057
4204.652	    0.229
4205.407	    0.258
4206.162	    0.341
4206.917	    0.401
4207.672	    0.426
4208.427	    0.428
4209.183	    0.380
4209.938	    0.336
4210.694	    0.336
4211.450	    0.333
4212.206	    0.316
4212.962	    0.298
4213.718	    0.275
4214.474	    0.263
4215.231	    0.207
4215.987	    0.074
4216.744	    0.236
4217.501	    0.209
4218.258	    0.136
4219.015	    0.094
4219.773	    0.196
4220.530	    0.227
4221.288	    0.227
4222.045	    0.243
4222.803	    0.296
4223.561	    0.288
4224.319	    0.300
4225.077	    0.309
4225.836	    0.310
4226.594	    0.403
4227.353	    0.468
4228.112	    0.517
4228.871	    0.554
4229.630	    0.510
4230.389	    0.481
4231.148	    0.404
4231.908	    0.181
4232.667	    0.292
4233.427	    0.359
4234.187	    0.358
4234.947	    0.269
4235.707	    0.172
4236.468	    0.288
4237.228	    0.359
4237.989	    0.408
4238.749	    0.483
4239.510	    0.457
4240.271	    0.413
4241.032	    0.345
4241.793	    0.261
4242.555	    0.190
4243.316	    0.088
4244.078	    0.132
4244.840	    0.144
4245.602	    0.119
4246.364	    0.234
4247.126	    0.397
4247.888	    0.485
4248.651	    0.451
4249.413	    0.389
4250.176	    0.309
4250.939	    0.277
4251.702	    0.128
4252.465	    0.209
4253.229	    0.288
4253.992	    0.193
4254.756	    0.115
4255.519	    0.105
4256.283	    0.105
4257.047	    0.227
4257.811	    0.290
4258.575	    0.285
4259.340	    0.256
4260.104	    0.193
4260.869	    0.178
4261.634	    0.265
4262.399	    0.390
4263.164	    0.439
4263.929	    0.396
4264.695	    0.345
4265.460	    0.341
