WV      	 Sigma   
4176.646	    0.176
4177.397	    0.167
4178.147	    0.159
4178.898	    0.149
4179.649	    0.138
4180.400	    0.128
4181.151	    0.119
4181.902	    0.110
4182.653	    0.104
4183.405	    0.102
4184.157	    0.109
4184.908	    0.119
4185.660	    0.134
4186.412	    0.147
4187.164	    0.149
4187.917	    0.138
4188.669	    0.093
4189.422	    0.067
4190.174	    0.053
4190.927	    0.122
4191.680	    0.093
4192.433	    0.091
4193.186	    0.087
4193.940	    0.074
4194.693	    0.110
4195.447	    0.079
4196.201	    0.037
4196.955	    0.079
4197.709	    0.091
4198.463	    0.019
4199.217	    0.085
4199.972	    0.070
4200.726	    0.059
4201.481	    0.074
4202.236	    0.083
4202.991	    0.062
4203.746	    0.100
4204.501	    0.102
4205.257	    0.104
4206.012	    0.113
4206.768	    0.116
4207.524	    0.070
4208.280	    0.056
4209.036	    0.062
4209.792	    0.046
4210.548	    0.053
4211.305	    0.089
4212.061	    0.110
4212.818	    0.083
4213.575	    0.053
4214.332	    0.019
4215.089	    0.059
4215.846	    0.059
4216.604	    0.083
4217.361	    0.081
4218.119	    0.089
4218.877	    0.053
4219.635	    0.042
4220.393	    0.053
4221.151	    0.064
4221.910	    0.067
4222.668	    0.032
4223.427	    0.032
4224.186	    0.093
4224.945	    0.049
4225.704	    0.056
4226.463	    0.042
4227.222	    0.046
4227.982	    0.081
4228.741	    0.118
4229.501	    0.125
4230.261	    0.100
4231.021	    0.081
4231.781	    0.083
4232.542	    0.115
4233.302	    0.098
4234.063	    0.053
4234.823	    0.107
4235.584	    0.113
4236.345	    0.085
4237.106	    0.110
4237.868	    0.077
4238.629	    0.062
4239.390	    0.072
4240.152	    0.097
4240.914	    0.091
4241.676	    0.081
4242.438	    0.056
4243.200	    0.072
4243.963	    0.081
4244.725	    0.112
4245.488	    0.118
4246.250	    0.056
4247.013	    0.077
4247.776	    0.110
4248.540	    0.133
4249.303	    0.143
4250.066	    0.195
4250.830	    0.155
4251.594	    0.085
4252.357	    0.049
4253.121	    0.162
4253.886	    0.167
4254.650	    0.162
4255.414	    0.156
4256.179	    0.105
4256.944	    0.070
4257.708	    0.070
4258.473	    0.113
4259.238	    0.105
4260.004	    0.104
4260.769	    0.118
4261.535	    0.142
4262.300	    0.178
4263.066	    0.019
4263.832	    0.019
4264.598	    0.135
4265.364	    0.145
4266.130	    0.148
4266.897	    0.134
4267.664	    0.118
4268.430	    0.125
4269.197	    0.042
4269.964	    0.085
4270.731	    0.091
4271.499	    0.119
4272.266	    0.130
4273.034	    0.126
4273.801	    0.105
4274.569	    0.091
4275.337	    0.113
4276.105	    0.125
4276.874	    0.138
4277.642	    0.147
4278.411	    0.067
4279.179	    0.105
4279.948	    0.143
4280.717	    0.173
4281.486	    0.161
4282.255	    0.164
4283.025	    0.153
4283.794	    0.130
4284.564	    0.083
4285.334	    0.137
4286.104	    0.159
4286.874	    0.170
4287.644	    0.164
4288.414	    0.059
4289.185	    0.109
4289.955	    0.137
4290.726	    0.148
4291.497	    0.138
4292.268	    0.140
4293.039	    0.149
4293.811	    0.150
4294.582	    0.046
4295.354	    0.113
