WV      	 Sigma   
4184.326	    0.033
4185.077	    0.033
4185.828	    0.030
4186.580	    0.022
4187.331	    0.017
4188.083	    0.014
4188.835	    0.016
4189.586	    0.022
4190.339	    0.019
4191.091	    0.009
4191.843	    0.013
4192.595	    0.019
4193.348	    0.003
4194.101	    0.022
4194.853	    0.026
4195.606	    0.012
4196.359	    0.018
4197.113	    0.012
4197.866	    0.005
4198.620	    0.003
4199.373	    0.011
4200.127	    0.016
4200.881	    0.018
4201.635	    0.018
4202.389	    0.024
4203.143	    0.021
4203.898	    0.032
4204.652	    0.021
4205.407	    0.030
4206.162	    0.026
4206.917	    0.018
4207.672	    0.013
4208.427	    0.024
4209.183	    0.022
4209.938	    0.018
4210.694	    0.010
4211.450	    0.003
4212.206	    0.016
4212.962	    0.016
4213.718	    0.023
4214.474	    0.016
4215.231	    0.017
4215.987	    0.020
4216.744	    0.025
4217.501	    0.017
4218.258	    0.016
4219.015	    0.007
4219.773	    0.017
4220.530	    0.005
4221.288	    0.021
4222.045	    0.031
4222.803	    0.035
4223.561	    0.024
4224.319	    0.016
4225.077	    0.014
4225.836	    0.025
4226.594	    0.025
4227.353	    0.018
4228.112	    0.008
4228.871	    0.007
4229.630	    0.034
4230.389	    0.017
4231.148	    0.017
4231.908	    0.014
4232.667	    0.033
4233.427	    0.035
4234.187	    0.032
4234.947	    0.020
4235.707	    0.031
4236.468	    0.031
4237.228	    0.028
4237.989	    0.024
4238.749	    0.032
4239.510	    0.032
4240.271	    0.027
4241.032	    0.016
4241.793	    0.020
4242.555	    0.036
4243.316	    0.039
4244.078	    0.035
4244.840	    0.025
4245.602	    0.007
4246.364	    0.014
4247.126	    0.012
4247.888	    0.023
4248.651	    0.028
4249.413	    0.026
4250.176	    0.024
4250.939	    0.032
4251.702	    0.031
4252.465	    0.031
4253.229	    0.031
4253.992	    0.018
4254.756	    0.012
4255.519	    0.017
4256.283	    0.020
4257.047	    0.016
4257.811	    0.016
4258.575	    0.017
4259.340	    0.021
4260.104	    0.028
4260.869	    0.025
4261.634	    0.022
4262.399	    0.021
4263.164	    0.025
4263.929	    0.009
4264.695	    0.015
4265.460	    0.018
4266.226	    0.012
4266.991	    0.025
4267.757	    0.025
4268.523	    0.035
4269.290	    0.046
4270.056	    0.033
4270.822	    0.022
4271.589	    0.025
4272.356	    0.029
4273.123	    0.005
4273.890	    0.031
4274.657	    0.029
4275.424	    0.026
4276.191	    0.034
4276.959	    0.027
4277.727	    0.023
4278.494	    0.025
4279.262	    0.034
4280.031	    0.019
4280.799	    0.030
4281.567	    0.036
4282.336	    0.035
4283.104	    0.026
4283.873	    0.006
4284.642	    0.006
4285.411	    0.021
4286.180	    0.029
4286.950	    0.033
4287.719	    0.032
4288.489	    0.027
4289.259	    0.010
4290.029	    0.020
4290.799	    0.027
4291.569	    0.032
4292.339	    0.038
4293.110	    0.037
4293.880	    0.037
4294.651	    0.035
4295.422	    0.029
4296.193	    0.033
4296.964	    0.030
4297.735	    0.024
4298.507	    0.017
4299.278	    0.024
4300.050	    0.024
4300.822	    0.035
4301.594	    0.041
4302.366	    0.024
4303.138	    0.032
4303.910	    0.032
4304.683	    0.028
4305.456	    0.008
4306.229	    0.014
4307.001	    0.017
4307.775	    0.020
4308.548	    0.023
4309.321	    0.018
4310.095	    0.032
4310.868	    0.030
4311.642	    0.009
4312.416	    0.012
4313.190	    0.029
4313.964	    0.027
4314.739	    0.024
4315.513	    0.032
4316.288	    0.032
4317.062	    0.027
4317.837	    0.029
4318.612	    0.039
4319.388	    0.041
4320.163	    0.038
4320.938	    0.034
4321.714	    0.030
4322.490	    0.030
4323.266	    0.029
4324.042	    0.031
4324.818	    0.034
4325.594	    0.032
4326.370	    0.037
4327.147	    0.028
4327.924	    0.015
4328.700	    0.011
4329.477	    0.014
4330.255	    0.020
4331.032	    0.027
4331.809	    0.032
4332.587	    0.025
4333.364	    0.029
4334.142	    0.033
4334.920	    0.032
4335.698	    0.011
4336.477	    0.040
4337.255	    0.027
4338.034	    0.021
4338.812	    0.030
4339.591	    0.021
4340.370	    0.023
4341.149	    0.025
4341.928	    0.027
4342.708	    0.031
4343.487	    0.022
4344.267	    0.029
4345.046	    0.030
4345.826	    0.020
4346.606	    0.024
4347.387	    0.008
4348.167	    0.013
4348.947	    0.025
4349.728	    0.032
4350.509	    0.029
4351.290	    0.035
4352.071	    0.038
4352.852	    0.035
4353.633	    0.036
4354.415	    0.038
4355.196	    0.037
4355.978	    0.033
4356.760	    0.035
4357.542	    0.037
4358.324	    0.036
4359.106	    0.033
4359.889	    0.028
4360.671	    0.015
4361.454	    0.009
4362.237	    0.010
4363.020	    0.018
4363.803	    0.023
4364.587	    0.009
4365.370	    0.015
