Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6367.629	    0.266	 2.419e-17	         3.052e-18	    2.238	    0.251	 1.357e-16	 2.292e-17	  -19.776	            0.378	 3186.660	 3186.660	   12.509	   16.889	    5.271
[OI]b   	 6363.800	 6431.808	    0.266	 7.803e-18	         3.052e-18	    2.238	    0.251	 4.378e-17	 1.782e-17	  -19.776	            0.378	 3186.660	 3186.660	   12.384	   40.699	    5.271
[NII]b  	 6548.100	 6617.848	    0.272	 3.060e-16	         1.690e-16	    1.773	    0.211	 1.360e-15	 7.684e-16	          -19.776	    0.378	 3176.284	 3176.284	   12.325	           56.488	    4.175
Halpha  	 6562.800	 6632.972	    0.196	 2.043e-15	         3.070e-16	    1.620	    0.147	 8.294e-15	 1.456e-15	          -19.776	    0.378	 3188.347	 3188.347	    8.863	           17.549	    3.814
[NII]a  	 6583.500	 6653.625	    0.272	 8.875e-16	         1.690e-16	    1.783	    0.211	 3.966e-15	 8.892e-16	          -19.776	    0.378	 3176.284	 3176.284	   12.259	           22.420	    4.198
[SII]a  	 6716.400	 6788.124	    0.493	 2.241e-16	         9.805e-17	    1.574	    0.380	 8.840e-16	 4.417e-16	          -19.776	    0.378	 3184.365	 3184.365	   21.763	           49.965	    3.706
[SII]b  	 6730.800	 6802.678	    0.493	 1.709e-16	         8.333e-17	    1.577	    0.380	 6.758e-16	 3.674e-16	          -19.776	    0.378	 3184.365	 3184.365	   21.717	           54.373	    3.714
Hbeta   	 4861.000	 4913.317	    0.143	 2.357e-16	         2.873e-17	    1.384	    0.094	 8.177e-16	 1.141e-16	          -19.776	    0.378	 3209.173	 3209.173	    8.738	           13.950	    3.259
[OIII]49	 4959.000	 5011.907	    0.409	 6.315e-18	         5.043e-18	    1.551	    0.344	 2.455e-17	 2.035e-17	          -19.776	    0.378	 3181.396	 3181.396	   24.476	           82.885	    3.652
[OIII]50	 5007.000	 5060.420	    0.409	 1.894e-17	         5.043e-18	    1.551	    0.344	 7.364e-17	 2.551e-17	          -19.776	    0.378	 3181.454	 3181.454	   24.241	           34.648	    3.652
[OI]a   	 6300.300	 6367.629	    0.266	 2.419e-17	         3.052e-18	    2.238	    0.251	 1.357e-16	 2.292e-17	          -19.776	    0.378	 3186.660	 3186.660	   12.509	           16.889	    5.271
[OI]b   	 6363.800	 6431.808	    0.266	 7.803e-18	         3.052e-18	    2.238	    0.251	 4.378e-17	 1.782e-17	          -19.776	    0.378	 3186.660	 3186.660	   12.384	           40.699	    5.271
[NII]b  	 6548.100	 6617.848	    0.272	 3.060e-16	         1.690e-16	    1.773	    0.211	 1.360e-15	 7.684e-16	          -19.776	    0.378	 3176.284	 3176.284	   12.325	           56.488	    4.175
Halpha  	 6562.800	 6632.972	    0.196	 2.043e-15	         3.070e-16	    1.620	    0.147	 8.294e-15	 1.456e-15	          -19.776	    0.378	 3188.347	 3188.347	    8.863	           17.549	    3.814
[NII]a  	 6583.500	 6653.625	    0.272	 8.875e-16	         1.690e-16	    1.783	    0.211	 3.966e-15	 8.892e-16	          -19.776	    0.378	 3176.284	 3176.284	   12.259	           22.420	    4.198
[SII]a  	 6716.400	 6788.124	    0.493	 2.241e-16	         9.805e-17	    1.574	    0.380	 8.840e-16	 4.417e-16	          -19.776	    0.378	 3184.365	 3184.365	   21.763	           49.965	    3.706
[SII]b  	 6730.800	 6802.678	    0.493	 1.709e-16	         8.333e-17	    1.577	    0.380	 6.758e-16	 3.674e-16	          -19.776	    0.378	 3184.365	 3184.365	   21.717	           54.373	    3.714
Hbeta   	 4861.000	 4913.317	    0.143	 2.357e-16	         2.873e-17	    1.384	    0.094	 8.177e-16	 1.141e-16	          -19.776	    0.378	 3209.173	 3209.173	    8.738	           13.950	    3.259
[OIII]49	 4959.000	 5011.907	    0.409	 6.315e-18	         5.043e-18	    1.551	    0.344	 2.455e-17	 2.035e-17	          -19.776	    0.378	 3181.396	 3181.396	   24.476	           82.885	    3.652
[OIII]50	 5007.000	 5060.420	    0.409	 1.894e-17	         5.043e-18	    1.551	    0.344	 7.364e-17	 2.551e-17	          -19.776	    0.378	 3181.454	 3181.454	   24.241	           34.648	    3.652
