wlen 	 newgal_spectrum 
  4371.645 	      0.078
  4372.431 	      0.140
  4373.216 	     -0.063
  4374.002 	     -0.095
  4374.788 	     -0.024
  4375.574 	     -0.011
  4376.360 	     -0.068
  4377.146 	     -0.089
  4377.933 	     -0.078
  4378.719 	     -0.123
  4379.506 	     -0.179
  4380.293 	     -0.213
  4381.080 	      0.052
  4381.867 	      0.033
  4382.654 	      0.028
  4383.442 	      0.048
  4384.229 	      0.069
  4385.017 	      0.201
  4385.805 	      0.393
  4386.593 	      0.533
  4387.381 	      0.557
  4388.169 	      0.151
  4388.958 	      0.081
  4389.746 	      0.034
  4390.535 	      0.004
  4391.324 	     -0.013
  4392.113 	      0.118
  4392.902 	      0.102
  4393.691 	      0.040
  4394.480 	     -0.045
  4395.270 	     -0.052
  4396.059 	     -0.040
  4396.849 	     -0.045
  4397.639 	     -0.057
  4398.429 	     -0.067
  4399.220 	     -0.013
  4400.010 	      0.020
  4400.801 	      0.028
  4401.591 	      0.051
  4402.382 	      0.245
  4403.173 	     -0.055
  4403.964 	      0.001
  4404.755 	      0.012
  4405.547 	     -0.120
  4406.338 	     -0.041
  4407.130 	     -0.116
  4407.922 	      0.023
  4408.714 	      0.129
  4409.506 	     -0.067
  4410.298 	      0.073
  4411.090 	     -0.057
  4411.883 	     -0.060
  4412.675 	      0.023
  4413.468 	      0.013
  4414.261 	     -0.083
  4415.054 	     -0.069
  4415.848 	     -0.029
  4416.641 	      0.015
  4417.434 	      0.006
  4418.228 	      0.105
  4419.022 	      0.067
  4419.816 	      0.012
  4420.610 	      0.020
  4421.404 	      0.102
  4422.199 	      0.110
  4422.993 	      0.036
  4423.788 	     -0.061
  4424.583 	     -0.087
  4425.377 	      0.065
  4426.173 	      0.091
  4426.968 	      0.054
  4427.763 	     -0.023
  4428.559 	     -0.058
  4429.354 	     -0.109
  4430.150 	     -0.042
  4430.946 	     -0.002
  4431.742 	     -0.037
  4432.538 	     -0.148
  4433.335 	     -0.049
  4434.131 	      0.020
  4434.928 	      0.056
  4435.725 	      0.047
  4436.522 	      0.193
  4437.319 	      0.201
  4438.116 	      0.115
  4438.913 	     -0.006
  4439.711 	     -0.088
  4440.509 	     -0.044
  4441.306 	     -0.130
  4442.104 	     -0.132
  4442.902 	     -0.090
  4443.701 	     -0.155
  4444.499 	     -0.148
  4445.298 	      0.021
  4446.096 	      0.017
  4446.895 	     -0.155
  4447.694 	     -0.206
  4448.493 	     -0.005
  4449.292 	      0.054
  4450.092 	      0.067
  4450.891 	      0.049
  4451.691 	     -0.083
