Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6366.493	    0.402	 1.131e-17	         2.415e-18	    1.992	    0.370	 5.649e-17	 1.598e-17	  -22.042	            0.378	 3133.183	 3133.183	   18.942	   28.295	    4.691
[OI]b   	 6363.800	 6430.660	    0.402	 3.649e-18	         2.415e-18	    1.992	    0.370	 1.822e-17	 1.253e-17	  -22.042	            0.378	 3133.183	 3133.183	   18.753	   68.740	    4.691
[NII]b  	 6548.100	 6617.260	    0.423	 1.746e-17	         1.266e-17	    2.137	    0.361	 9.351e-17	 6.963e-17	          -22.042	    0.378	 3149.648	 3149.648	   19.178	           74.462	    5.031
Halpha  	 6562.800	 6632.313	    0.468	 6.289e-17	         1.511e-17	    2.514	    0.406	 3.963e-16	 1.147e-16	          -22.042	    0.378	 3158.558	 3158.558	   21.166	           28.956	    5.920
[NII]a  	 6583.500	 6653.034	    0.423	 5.064e-17	         1.266e-17	    2.148	    0.361	 2.727e-16	 8.214e-17	          -22.042	    0.378	 3149.648	 3149.648	   19.075	           30.127	    5.058
[SII]a  	 6716.400	 6787.434	    0.517	 2.190e-17	         9.663e-18	    1.717	    0.416	 9.423e-17	 4.744e-17	          -22.042	    0.378	 3153.897	 3153.897	   22.819	           50.339	    4.043
[SII]b  	 6730.800	 6801.986	    0.517	 1.855e-17	         8.599e-18	    1.720	    0.416	 8.000e-17	 4.182e-17	          -22.042	    0.378	 3153.897	 3153.897	   22.771	           52.276	    4.051
Hbeta   	 4861.000	 4912.075	    0.448	 1.323e-17	         3.393e-18	    2.107	    0.301	 6.985e-17	 2.051e-17	          -22.042	    0.378	 3133.380	 3133.380	   27.339	           29.366	    4.960
[OIII]49	 4959.000	 5011.683	    0.501	 1.326e-18	         2.962e-18	    1.133	    0.469	 3.768e-18	 8.557e-18	          -22.042	    0.378	 3167.984	 3167.984	   29.955	          227.122	    2.669
[OIII]50	 5007.000	 5060.194	    0.501	 3.979e-18	         2.962e-18	    1.133	    0.469	 1.130e-17	 9.626e-18	          -22.042	    0.378	 3168.042	 3168.042	   29.668	           85.162	    2.669
