WV      	 Sigma   
4259.984	    0.065
4260.688	    0.066
4261.392	    0.069
4262.096	    0.074
4262.800	    0.079
4263.505	    0.083
4264.209	    0.086
4264.914	    0.086
4265.618	    0.085
4266.323	    0.082
4267.028	    0.076
4267.733	    0.067
4268.439	    0.054
4269.144	    0.037
4269.849	    0.012
4270.555	    0.033
4271.261	    0.038
4271.966	    0.054
4272.672	    0.037
4273.378	    0.023
4274.084	    0.045
4274.791	    0.037
4275.497	    0.038
4276.204	    0.040
4276.910	    0.038
4277.617	    0.017
4278.324	    0.031
4279.031	    0.031
4279.738	    0.030
4280.445	    0.029
4281.152	    0.026
4281.860	    0.026
4282.567	    0.012
4283.275	    0.021
4283.983	    0.033
4284.691	    0.052
4285.399	    0.052
4286.107	    0.047
4286.815	    0.044
4287.523	    0.047
4288.232	    0.057
4288.940	    0.059
4289.649	    0.051
4290.358	    0.044
4291.067	    0.041
4291.776	    0.037
4292.485	    0.032
4293.194	    0.033
4293.904	    0.046
4294.613	    0.050
4295.323	    0.050
4296.033	    0.040
4296.743	    0.038
4297.453	    0.046
4298.163	    0.047
4298.873	    0.046
4299.583	    0.045
4300.294	    0.045
4301.004	    0.046
4301.715	    0.046
4302.426	    0.048
4303.137	    0.052
4303.848	    0.046
4304.559	    0.040
4305.270	    0.045
4305.982	    0.019
4306.693	    0.009
4307.405	    0.021
4308.117	    0.038
4308.829	    0.061
4309.541	    0.068
4310.253	    0.066
4310.965	    0.061
4311.677	    0.058
4312.390	    0.061
4313.102	    0.061
4313.815	    0.058
4314.528	    0.052
4315.241	    0.031
4315.954	    0.031
4316.667	    0.037
4317.380	    0.047
4318.094	    0.043
4318.807	    0.032
4319.521	    0.032
4320.235	    0.023
4320.949	    0.019
4321.663	    0.034
4322.377	    0.009
4323.091	    0.034
4323.805	    0.044
4324.520	    0.038
4325.234	    0.023
4325.949	    0.017
4326.664	    0.030
4327.379	    0.046
4328.094	    0.059
4328.809	    0.054
4329.524	    0.052
4330.240	    0.049
4330.955	    0.045
4331.671	    0.017
4332.387	    0.038
4333.103	    0.040
4333.819	    0.029
4334.535	    0.026
4335.251	    0.031
4335.968	    0.027
4336.684	    0.017
4337.401	    0.017
4338.117	    0.039
4338.834	    0.029
4339.551	    0.009
4340.268	    0.021
4340.985	    0.015
4341.703	    0.024
4342.420	    0.034
4343.138	    0.045
4343.855	    0.057
4344.573	    0.056
4345.291	    0.049
4346.009	    0.048
4346.727	    0.053
4347.445	    0.056
4348.164	    0.061
4348.882	    0.065
4349.601	    0.068
4350.320	    0.069
4351.039	    0.052
4351.758	    0.056
4352.477	    0.061
4353.196	    0.063
4353.915	    0.050
4354.635	    0.055
4355.354	    0.068
4356.074	    0.077
4356.794	    0.080
4357.514	    0.078
4358.234	    0.074
4358.954	    0.071
4359.674	    0.066
4360.394	    0.051
4361.115	    0.029
4361.836	    0.009
4362.556	    0.029
4363.277	    0.044
4363.998	    0.049
4364.719	    0.041
4365.441	    0.039
4366.162	    0.039
4366.883	    0.037
4367.605	    0.009
4368.327	    0.021
4369.049	    0.034
4369.771	    0.045
4370.493	    0.058
4371.215	    0.058
4371.937	    0.049
4372.660	    0.032
4373.382	    0.017
4374.105	    0.043
4374.828	    0.054
4375.550	    0.059
4376.273	    0.058
4376.997	    0.054
4377.720	    0.061
4378.443	    0.066
4379.167	    0.068
4379.890	    0.068
4380.614	    0.065
4390.759	    0.049
4391.485	    0.033
4392.210	    0.042
4392.936	    0.046
4393.662	    0.048
4394.388	    0.063
4395.114	    0.063
4395.840	    0.064
4396.567	    0.056
4397.293	    0.035
4398.020	    0.038
4398.747	    0.031
4399.473	    0.038
4400.200	    0.041
4400.928	    0.023
4401.655	    0.009
4402.382	    0.027
4403.110	    0.024
4403.837	    0.017
4404.565	    0.033
4405.293	    0.026
4406.021	    0.019
4406.749	    0.038
4407.477	    0.048
4408.205	    0.039
4408.934	    0.012
4409.662	    0.029
4410.391	    0.035
4411.119	    0.035
4411.848	    0.044
4412.577	    0.021
4413.307	    0.031
4414.036	    0.038
4414.765	    0.027
4415.495	    0.009
4416.224	    0.012
4416.954	    0.031
4417.684	    0.038
4418.414	    0.034
4419.144	    0.021
4419.874	    0.021
4420.605	    0.015
4421.335	    0.034
4422.066	    0.042
4422.796	    0.032
4423.527	    0.033
4424.258	    0.035
4424.989	    0.038
4425.720	    0.037
4426.452	    0.035
4427.183	    0.030
4427.915	    0.021
4428.646	    0.021
4429.378	    0.015
4430.110	    0.031
4430.842	    0.023
4431.574	    0.012
4432.307	    0.024
4433.039	    0.017
4433.772	    0.027
4434.504	    0.026
4435.237	    0.040
4435.970	    0.044
4436.703	    0.040
4437.436	    0.046
4438.169	    0.045
4438.903	    0.040
4439.636	    0.032
4440.370	    0.030
4441.103	    0.021
4441.837	    0.015
4442.571	    0.021
4443.305	    0.031
4444.040	    0.031
4444.774	    0.027
4445.508	    0.021
4446.243	    0.017
4446.978	    0.033
4447.713	    0.019
4448.447	    0.017
4449.183	    0.030
4449.918	    0.033
4450.653	    0.030
4451.388	    0.012
4452.124	    0.033
4452.860	    0.039
4453.596	    0.038
4454.331	    0.027
4455.067	    0.024
4455.804	    0.041
4456.540	    0.054
4457.276	    0.061
4458.013	    0.060
4458.750	    0.049
4459.486	    0.045
4460.223	    0.037
4460.960	    0.030
4461.697	    0.032
4462.435	    0.041
4463.172	    0.034
4463.909	    0.026
4464.647	    0.015
4465.385	    0.012
4466.123	    0.012
4466.861	    0.024
4467.599	    0.031
4468.337	    0.038
4469.075	    0.046
4469.814	    0.034
4470.552	    0.033
4471.291	    0.030
4472.030	    0.027
4472.769	    0.031
4473.508	    0.043
4474.247	    0.043
4474.987	    0.041
4475.726	    0.033
4476.466	    0.012
4477.205	    0.035
4477.945	    0.023
4478.685	    0.050
4479.425	    0.056
4480.165	    0.049
4480.906	    0.024
4481.646	    0.026
4482.387	    0.032
4483.127	    0.038
4483.868	    0.040
4484.609	    0.037
4485.350	    0.035
4486.091	    0.046
4486.833	    0.050
4487.574	    0.046
4488.316	    0.037
4489.057	    0.019
4489.799	    0.009
4490.541	    0.009
4491.283	    0.012
4492.025	    0.027
4492.767	    0.026
4493.510	    0.030
4494.252	    0.021
4494.995	    0.012
4495.738	    0.023
4496.481	    0.019
4497.224	    0.012
4497.967	    0.021
4498.710	    0.015
4499.453	    0.019
4500.197	    0.019
4500.940	    0.039
4501.684	    0.052
4502.428	    0.049
4503.172	    0.038
4503.916	    0.034
4504.660	    0.038
4505.405	    0.029
4506.149	    0.024
4506.894	    0.029
4507.639	    0.038
4508.383	    0.046
4509.128	    0.038
4509.873	    0.035
4510.619	    0.038
4511.364	    0.045
4512.109	    0.019
4512.855	    0.015
4513.601	    0.017
4514.347	    0.021
4515.093	    0.029
4515.839	    0.039
4516.585	    0.038
4517.331	    0.043
4518.078	    0.046
4518.824	    0.043
4519.571	    0.030
4520.318	    0.038
4521.065	    0.032
4521.812	    0.021
4522.559	    0.041
4523.306	    0.040
4524.054	    0.021
4524.801	    0.029
4525.549	    0.038
4526.297	    0.040
4527.045	    0.039
4527.793	    0.040
4528.541	    0.023
4529.289	    0.023
4530.038	    0.034
4530.786	    0.048
4531.535	    0.041
4532.284	    0.019
4533.033	    0.019
4533.782	    0.015
4534.531	    0.021
4535.280	    0.041
4536.030	    0.030
4536.779	    0.024
4537.529	    0.039
4538.279	    0.039
4539.028	    0.032
4539.779	    0.023
4540.529	    0.023
4541.279	    0.032
4542.029	    0.034
4542.780	    0.039
4543.531	    0.052
4544.281	    0.050
4545.032	    0.033
4545.783	    0.009
4546.534	    0.012
4547.286	    0.019
4548.037	    0.023
4548.789	    0.032
4549.540	    0.030
4550.292	    0.012
4551.044	    0.023
4551.796	    0.023
4552.548	    0.012
4553.300	    0.027
4554.053	    0.031
4554.805	    0.027
4555.558	    0.017
4556.311	    0.043
4557.064	    0.058
4557.817	    0.057
4558.570	    0.049
4559.323	    0.037
4560.076	    0.017
4560.830	    0.009
4561.584	    0.012
4562.337	    0.015
4563.091	    0.012
4563.845	    0.012
4564.599	    0.017
4565.354	    0.038
4566.108	    0.033
4566.863	    0.033
4567.617	    0.034
4568.372	    0.033
4569.127	    0.032
4569.882	    0.039
4570.637	    0.046
4571.392	    0.034
4572.148	    0.027
4572.903	    0.053
4573.659	    0.056
4574.415	    0.054
4575.170	    0.041
4575.926	    0.030
4576.683	    0.035
4577.439	    0.038
4578.195	    0.030
4578.952	    0.037
4579.708	    0.041
4580.465	    0.038
4581.222	    0.024
4581.979	    0.015
4582.736	    0.038
4583.493	    0.026
4584.251	    0.021
4585.008	    0.034
4585.766	    0.026
4586.524	    0.017
4587.282	    0.021
4588.040	    0.029
4588.798	    0.029
4589.556	    0.017
4590.314	    0.021
4591.073	    0.017
4591.832	    0.009
4592.590	    0.009
4593.349	    0.012
4594.108	    0.029
4594.867	    0.038
4595.627	    0.039
4596.386	    0.032
4597.146	    0.027
4597.905	    0.030
4598.665	    0.035
4599.425	    0.033
4600.185	    0.012
4600.945	    0.009
4601.705	    0.024
4602.466	    0.044
4603.226	    0.044
4603.987	    0.046
4604.748	    0.049
4605.508	    0.042
4606.269	    0.035
4607.031	    0.039
4607.792	    0.040
4608.553	    0.009
4609.315	    0.019
4610.076	    0.019
4610.838	    0.029
4611.600	    0.033
4612.362	    0.017
4613.124	    0.037
4613.887	    0.044
4614.649	    0.041
4615.412	    0.032
4616.174	    0.029
4616.937	    0.035
4617.700	    0.035
4618.463	    0.024
4619.226	    0.017
4619.989	    0.023
4620.753	    0.027
4621.516	    0.046
4622.280	    0.021
4623.044	    0.040
4623.808	    0.047
4624.572	    0.034
4625.336	    0.032
4626.100	    0.019
4626.865	    0.023
4627.629	    0.012
4628.394	    0.030
4629.159	    0.024
4629.924	    0.035
4630.689	    0.031
4631.454	    0.019
4632.219	    0.015
4632.985	    0.015
4633.750	    0.017
4634.516	    0.017
4635.282	    0.048
4636.048	    0.040
4636.814	    0.031
4637.580	    0.051
4638.346	    0.042
4639.113	    0.009
4639.879	    0.009
4640.646	    0.027
4641.413	    0.038
4642.180	    0.038
4642.947	    0.023
4643.714	    0.024
4644.481	    0.034
4645.249	    0.042
4646.016	    0.037
4646.784	    0.029
4647.552	    0.024
4648.320	    0.019
4649.088	    0.012
4649.856	    0.021
4650.625	    0.030
4651.393	    0.027
4652.162	    0.009
4652.930	    0.015
4653.699	    0.033
4654.468	    0.037
4655.237	    0.033
4656.007	    0.032
4656.776	    0.035
4657.546	    0.042
4658.315	    0.049
4659.085	    0.045
4659.855	    0.031
4660.625	    0.017
4661.395	    0.021
4662.165	    0.026
4662.936	    0.026
4663.706	    0.015
4664.477	    0.027
4665.247	    0.029
4666.018	    0.017
4666.789	    0.012
4667.561	    0.031
4668.332	    0.009
4669.103	    0.027
4669.875	    0.031
4670.646	    0.026
4671.418	    0.026
4672.190	    0.043
4672.962	    0.040
4673.734	    0.033
4674.507	    0.034
4675.279	    0.038
4676.052	    0.038
4676.824	    0.019
4677.597	    0.019
4678.370	    0.030
4679.143	    0.031
4679.916	    0.026
4680.690	    0.023
4681.463	    0.032
4682.237	    0.015
4683.010	    0.024
4683.784	    0.027
4684.558	    0.015
4685.332	    0.031
4686.106	    0.044
4686.881	    0.052
4687.655	    0.044
4688.430	    0.019
4689.205	    0.038
4689.979	    0.038
4690.754	    0.033
4691.529	    0.045
4692.305	    0.033
4693.080	    0.045
4693.856	    0.039
4694.631	    0.030
4695.407	    0.029
4696.183	    0.029
4696.959	    0.023
4697.735	    0.023
4698.511	    0.032
4699.288	    0.026
4700.064	    0.026
4700.841	    0.021
4701.618	    0.017
4702.394	    0.029
4703.171	    0.030
4703.949	    0.031
4704.726	    0.033
4705.503	    0.037
4706.281	    0.038
4707.059	    0.035
4707.836	    0.033
4708.614	    0.015
4709.392	    0.027
4710.171	    0.034
4710.949	    0.021
4711.727	    0.030
4712.506	    0.044
4713.285	    0.046
4714.063	    0.043
4714.842	    0.030
4715.621	    0.019
4716.401	    0.029
4717.180	    0.026
4717.960	    0.023
4718.739	    0.009
4719.519	    0.021
4720.299	    0.026
4721.079	    0.026
4721.859	    0.019
4722.639	    0.032
4723.419	    0.019
4724.200	    0.012
4724.981	    0.015
4725.761	    0.012
4726.542	    0.032
4727.323	    0.029
4728.104	    0.012
4728.886	    0.026
4729.667	    0.031
4730.449	    0.029
4731.230	    0.012
4732.012	    0.009
4732.794	    0.035
4733.576	    0.032
4734.358	    0.027
4735.141	    0.017
4735.923	    0.012
4736.706	    0.017
4737.488	    0.029
4738.271	    0.009
4739.054	    0.040
4739.837	    0.040
4740.620	    0.029
4741.404	    0.021
4742.187	    0.037
4742.971	    0.032
4743.755	    0.026
4744.538	    0.009
4745.322	    0.023
4746.107	    0.038
4746.891	    0.050
4747.675	    0.037
4748.460	    0.021
4749.244	    0.035
4750.029	    0.038
4750.814	    0.026
4751.599	    0.015
4752.384	    0.015
4753.170	    0.017
4753.955	    0.031
4754.741	    0.041
4755.526	    0.038
4756.312	    0.033
4757.098	    0.032
4757.884	    0.039
4758.670	    0.031
4759.457	    0.041
4760.243	    0.039
4761.030	    0.012
4761.816	    0.038
4762.603	    0.037
4763.390	    0.027
4764.177	    0.026
4764.965	    0.029
4765.752	    0.030
4766.539	    0.021
4767.327	    0.015
4768.115	    0.021
4768.903	    0.021
4769.691	    0.019
4770.479	    0.017
4771.267	    0.015
4772.056	    0.023
4772.844	    0.009
4773.633	    0.030
4774.422	    0.027
4775.211	    0.038
4776.000	    0.043
4776.789	    0.035
4777.578	    0.030
4778.368	    0.032
4779.157	    0.035
4779.947	    0.035
4780.737	    0.026
4781.527	    0.021
4782.317	    0.021
4783.107	    0.024
4783.897	    0.026
4784.688	    0.027
4785.479	    0.035
4786.269	    0.043
4787.060	    0.043
4787.851	    0.033
4788.642	    0.023
4789.434	    0.009
4790.225	    0.009
4791.017	    0.030
4791.808	    0.043
4792.600	    0.038
4793.392	    0.035
4794.184	    0.032
4794.976	    0.030
4795.769	    0.029
4796.561	    0.021
4797.354	    0.038
4798.146	    0.027
4798.939	    0.034
4799.732	    0.037
4800.525	    0.034
4801.319	    0.033
4802.112	    0.031
4802.906	    0.031
4803.699	    0.030
4804.493	    0.035
4805.287	    0.019
4806.081	    0.009
4806.875	    0.019
4807.669	    0.027
4808.464	    0.031
4809.258	    0.023
4810.053	    0.031
4810.848	    0.037
4811.643	    0.017
4812.438	    0.009
4813.233	    0.029
4814.028	    0.029
4814.824	    0.017
4815.620	    0.017
4816.415	    0.037
4817.211	    0.047
4818.007	    0.037
4818.803	    0.017
4819.600	    0.031
4820.396	    0.047
4821.192	    0.060
4821.989	    0.049
4822.786	    0.044
4823.583	    0.047
4824.380	    0.043
4825.177	    0.032
4825.974	    0.038
4826.772	    0.052
4827.569	    0.063
4828.367	    0.054
4829.165	    0.046
4829.963	    0.039
4830.761	    0.034
4831.559	    0.024
4832.358	    0.017
4833.156	    0.017
4833.955	    0.030
4834.754	    0.043
4835.553	    0.048
4836.352	    0.048
4837.151	    0.047
4837.950	    0.047
4838.750	    0.047
4839.549	    0.053
4840.349	    0.054
4841.149	    0.050
4841.949	    0.048
4842.749	    0.047
4843.549	    0.042
4844.349	    0.027
4845.150	    0.017
4845.950	    0.019
4846.751	    0.027
4847.552	    0.038
4848.353	    0.043
4849.154	    0.042
4849.955	    0.038
4850.757	    0.038
4851.558	    0.033
4852.360	    0.027
4853.162	    0.037
4853.964	    0.043
4854.766	    0.044
4855.568	    0.041
4856.370	    0.041
4857.173	    0.041
4857.976	    0.038
4858.778	    0.035
4859.581	    0.034
4860.384	    0.031
4861.187	    0.031
4861.991	    0.038
4862.794	    0.040
4863.598	    0.021
4864.401	    0.038
4865.205	    0.052
