Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6365.801	    0.102	 4.152e-16	         1.949e-17	    2.213	    0.091	 2.303e-15	 1.440e-16	    1.407	            0.553	 3100.608	 3100.608	    4.788	    6.252	    5.211
[OI]b   	 6363.800	 6429.962	    0.102	 1.339e-16	         1.949e-17	    2.213	    0.091	 7.429e-16	 1.124e-16	    1.407	            0.553	 3100.608	 3100.608	    4.740	   15.124	    5.211
[NII]b  	 6548.100	 6617.234	    0.343	 7.093e-16	         3.208e-16	    2.573	    0.281	 4.574e-15	 2.128e-15	            1.407	    0.553	 3148.474	 3148.474	   15.529	           46.526	    6.059
Halpha  	 6562.800	 6631.967	    0.292	 3.291e-15	         4.695e-16	    2.435	    0.230	 2.009e-14	 3.439e-15	            1.407	    0.553	 3142.942	 3142.942	   13.188	           17.119	    5.734
[NII]a  	 6583.500	 6653.008	    0.343	 2.057e-15	         3.208e-16	    2.587	    0.281	 1.334e-14	 2.535e-15	            1.407	    0.553	 3148.474	 3148.474	   15.445	           19.007	    6.091
[SII]a  	 6716.400	 6787.307	    0.540	 5.143e-16	         1.776e-16	    2.123	    0.383	 2.737e-15	 1.066e-15	            1.407	    0.553	 3148.296	 3148.296	   23.849	           38.947	    4.999
[SII]b  	 6730.800	 6801.859	    0.540	 3.979e-16	         1.542e-16	    2.127	    0.383	 2.122e-15	 9.064e-16	            1.407	    0.553	 3148.296	 3148.296	   23.798	           42.720	    5.010
Hbeta   	 4861.000	 4912.345	    0.263	 5.590e-16	         9.711e-17	    1.740	    0.190	 2.438e-15	 5.007e-16	            1.407	    0.553	 3149.863	 3149.863	   16.078	           20.532	    4.098
[OIII]49	 4959.000	 5011.381	    0.456	 6.992e-17	         4.977e-17	    2.085	    0.351	 3.655e-16	 2.673e-16	            1.407	    0.553	 3149.948	 3149.948	   27.260	           73.145	    4.911
[OIII]50	 5007.000	 5059.889	    0.456	 2.098e-16	         4.977e-17	    2.085	    0.351	 1.097e-15	 3.189e-16	            1.407	    0.553	 3150.006	 3150.006	   26.999	           29.082	    4.911
