Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6362.571	    0.299	 1.427e-17	         3.134e-18	    1.372	    0.277	 4.909e-17	 1.464e-17	   -7.691	            0.378	 2948.452	 2948.452	   14.101	   29.833	    3.231
[OI]b   	 6363.800	 6426.699	    0.299	 4.604e-18	         3.134e-18	    1.372	    0.277	 1.583e-17	 1.124e-17	   -7.691	            0.378	 2948.452	 2948.452	   13.960	   71.004	    3.231
[NII]b  	 6548.100	 6612.237	    0.349	 3.299e-17	         1.679e-17	    2.383	    0.308	 1.971e-16	 1.035e-16	           -7.691	    0.378	 2922.005	 2922.005	   15.824	           52.500	    5.612
Halpha  	 6562.800	 6627.151	    0.258	 1.636e-16	         2.786e-17	    1.761	    0.204	 7.221e-16	 1.487e-16	           -7.691	    0.378	 2925.168	 2925.168	   11.650	           20.591	    4.147
[NII]a  	 6583.500	 6647.984	    0.349	 9.568e-17	         1.679e-17	    2.396	    0.308	 5.746e-16	 1.250e-16	           -7.691	    0.378	 2922.005	 2922.005	   15.739	           21.756	    5.642
[SII]a  	 6716.400	 6782.326	    0.453	 3.705e-17	         1.279e-17	    1.753	    0.370	 1.628e-16	 6.588e-17	           -7.691	    0.378	 2928.240	 2928.240	   20.026	           40.472	    4.128
[SII]b  	 6730.800	 6796.868	    0.453	 2.462e-17	         1.029e-17	    1.757	    0.370	 1.084e-16	 5.075e-17	           -7.691	    0.378	 2928.240	 2928.240	   19.984	           46.809	    4.137
Hbeta   	 4861.000	 4908.844	    0.226	 2.708e-17	         6.861e-18	    1.037	    0.143	 7.043e-17	 2.030e-17	           -7.691	    0.378	 2936.141	 2936.141	   13.822	           28.829	    2.443
[OIII]49	 4959.000	 5007.865	    0.550	 2.175e-18	         2.843e-18	    1.155	    0.468	 6.297e-18	 8.616e-18	           -7.691	    0.378	 2939.545	 2939.545	   32.933	          136.825	    2.719
[OIII]50	 5007.000	 5056.339	    0.550	 6.526e-18	         2.843e-18	    1.155	    0.468	 1.889e-17	 1.124e-17	           -7.691	    0.378	 2939.603	 2939.603	   32.618	           59.520	    2.719
[OI]a   	 6300.300	 6362.571	    0.299	 1.427e-17	         3.134e-18	    1.372	    0.277	 4.909e-17	 1.464e-17	           -7.691	    0.378	 2948.452	 2948.452	   14.101	           29.833	    3.231
[OI]b   	 6363.800	 6426.699	    0.299	 4.604e-18	         3.134e-18	    1.372	    0.277	 1.583e-17	 1.124e-17	           -7.691	    0.378	 2948.452	 2948.452	   13.960	           71.004	    3.231
[NII]b  	 6548.100	 6612.237	    0.349	 3.299e-17	         1.679e-17	    2.383	    0.308	 1.971e-16	 1.035e-16	           -7.691	    0.378	 2922.005	 2922.005	   15.824	           52.500	    5.612
Halpha  	 6562.800	 6627.151	    0.258	 1.636e-16	         2.786e-17	    1.761	    0.204	 7.221e-16	 1.487e-16	           -7.691	    0.378	 2925.168	 2925.168	   11.650	           20.591	    4.147
[NII]a  	 6583.500	 6647.984	    0.349	 9.568e-17	         1.679e-17	    2.396	    0.308	 5.746e-16	 1.250e-16	           -7.691	    0.378	 2922.005	 2922.005	   15.739	           21.756	    5.642
[SII]a  	 6716.400	 6782.326	    0.453	 3.705e-17	         1.279e-17	    1.753	    0.370	 1.628e-16	 6.588e-17	           -7.691	    0.378	 2928.240	 2928.240	   20.026	           40.472	    4.128
[SII]b  	 6730.800	 6796.868	    0.453	 2.462e-17	         1.029e-17	    1.757	    0.370	 1.084e-16	 5.075e-17	           -7.691	    0.378	 2928.240	 2928.240	   19.984	           46.809	    4.137
Hbeta   	 4861.000	 4908.844	    0.226	 2.708e-17	         6.861e-18	    1.037	    0.143	 7.043e-17	 2.030e-17	           -7.691	    0.378	 2936.141	 2936.141	   13.822	           28.829	    2.443
[OIII]49	 4959.000	 5007.865	    0.550	 2.175e-18	         2.843e-18	    1.155	    0.468	 6.297e-18	 8.616e-18	           -7.691	    0.378	 2939.545	 2939.545	   32.933	          136.825	    2.719
[OIII]50	 5007.000	 5056.339	    0.550	 6.526e-18	         2.843e-18	    1.155	    0.468	 1.889e-17	 1.124e-17	           -7.691	    0.378	 2939.603	 2939.603	   32.618	           59.520	    2.719
